Header,Content,acronym,Related_To,Synonym,Is_Synonym,regex_keys
Mean Squared Error (MSE),"The average loss per example whenL2lossis
used. Calculate Mean Squared Error as follows: For example, consider the loss on the following batch of five examples: Therefore, the Mean Squared Error is: Mean Squared Error is a popular trainingoptimizer,
particularly forlinear regression. Contrast Mean Squared Error withMean Absolute ErrorandRoot Mean Squared Error. TensorFlow Playgrounduses Mean Squared Error
to calculate loss values. Outliersstrongly influence Mean Squared Error.
For example, a loss of 1 is a squared loss of 1, but a loss of 3 is a
squared loss of 9. In the preceding table, the example with a loss of 3
accounts for ~56% of the Mean Squared Error, while each of the examples
with a loss of 1 accounts for only 6% of the Mean Squared Error. Outliers don't influence Mean Absolute Error as strongly as
Mean Squared Error. For example, a loss of 3 accounts for only ~38% of the
Mean Absolute Error. Clippingis one way to prevent extreme
outliers from damaging your model's predictive ability.",,"['batch', 'clipping', 'L2loss', 'linear', 'linear regression', 'loss', 'model', 'optimizer', 'outliers', 'root', 'squared loss', 'Tensor', 'TensorFlow', 'TensorFlow Playground', 'training', 'retrieval-augmented generation']",,false,"(Mean(\s|-)?Squared(\s|-)?Error(\s|-)?|\s(\s|\.|\,))"
normalization,"Broadly speaking, the process of converting a variable's actual range
of values into a standard range of values, such as: For example, suppose the actual range of values of a certain feature is
800 to 2,400. As part offeature engineering,
you could normalize the actual values down to a standard range, such
as -1 to +1. Normalization is a common task infeature engineering. Models usually train faster
(and produce better predictions) when every numerical feature in thefeature vectorhas roughly the same range. ",,"['feature', 'feature engineering', 'feature vector', 'model', 'prediction', 'task', 'vector']",,false,"(normalizat|\s(\s|\.|\,))"
disparate treatment,"Factoring subjects' sensitive attributes into an algorithmic decision-making process such that different subgroups
of people are treated differently. For example, consider an algorithm that
determines Lilliputians' eligibility for a miniature-home loan based on the
data they provide in their loan application. If the algorithm uses a
Lilliputian's affiliation as Big-Endian or Little-Endian as an input, it
is enacting disparate treatment along that dimension. Contrast withdisparate impact, which focuses
on disparities in the societal impacts of algorithmic decisions on subgroups,
irrespective of whether those subgroups are inputs to the model.",,"['attribute', 'disparate impact', 'model', 'sensitive attribute']",,false,"(disparate(\s|-)?treatment|\s(\s|\.|\,))"
rotational invariance,"In an image classification problem, an algorithm's ability to successfully
classify images even when the orientation of the image changes. For example,
the algorithm can still identify a tennis racket whether it is pointing up,
sideways, or down. Note that rotational invariance is not always desirable;
for example, an upside-down 9 shouldn't be classified as a 9. See also translational invariance and size invariance. ",,"['class', 'size invariance', 'translational invariance']",,false,"(rotational(\s|-)?invariance|\s(\s|\.|\,))"
role prompting,"An optional part of a prompt that identifies a target audience
for a generative AImodel's response.Without a role
prompt, a large language model provides an answer that may or may not be useful
for the person asking the questions. With a role prompt, a large language
model can answer in a way that's more appropriate and more helpful for a
specific target audience.",,"['generative AI', 'language model', 'large language model', 'model', 'prompt', 'target']",,false,"(role(\s|-)?prompt|\s(\s|\.|\,))"
subsampling,See pooling layer,,"['pooling']",,false,"(subsampl|\s(\s|\.|\,))"
distribution,"The frequency and range of different values for a givenfeatureorlabel.
A distribution captures how likely a particular value is. The following image shows histograms of two different distributions:  Understanding each feature and label's distribution can help you determine how
tonormalizevalues and detectoutliers. The phraseout of distributionrefers to a value that doesn't appear in the
dataset or is very rare. For example, an image of the planet Saturn would be
considered out of distribution for a dataset consisting of cat images.",,"['feature', 'label', 'outliers']",,false,"(distribut|\s(\s|\.|\,))"
decision forest,"A model created from multiple decision trees.
A decision forest makes a prediction by aggregating the predictions of its decision trees. Popular types of decision forests include random forests and gradient boosted trees. ",,"['decision tree', 'gradient', 'model', 'prediction', 'random forest']",,false,"(decision(\s|-)?forest|\s(\s|\.|\,))"
TensorStore,"A library for efficiently reading and
writing large multi-dimensional arrays.",,[],,false,"(TensorStore|\s(\s|\.|\,))"
non-binary condition,"Aconditioncontaining more than two possible outcomes.
For example, the following non-binary condition contains three possible
outcomes:",,"['binary condition', 'condition']",,false,"(non(\s|-)?binary(\s|-)?condit|\s(\s|\.|\,))"
non-response bias,Seeselection bias.,,"['selection bias']",,false,"(non(\s|-)?response(\s|-)?bia|\sparticipation bias(\s|\.|\,))"
embedding layer,"A hidden layerthat trains on a
highdimensional categorical feature to
gradually learn a lower dimension embedding vector. An
embedding layer enables a neural network to train far more
efficiently than training just on the high-dimensional categorical feature. For example, Earth currently supports about 73,000 tree species. Suppose
tree species is afeaturein your model, so your model's
input layer includes aone-hot vector73,000
elements long.
For example, perhapsbaobabwould be represented something like this:  A 73,000-element array is very long. If you don't add an embedding layer
to the model, training is going to be very time consuming due to
multiplying 72,999 zeros. Perhaps you pick the embedding layer to consist
of 12 dimensions. Consequently, the embedding layer will gradually learn
a new embedding vector for each tree species. In certain situations,hashingis a reasonable alternative
to an embedding layer.",,"['dimensions', 'embedding vector', 'feature', 'hashing', 'hidden layer', 'input layer', 'layer', 'model', 'neural network', 'training', 'vector']",,false,"(embedding(\s|-)?layer|\s(\s|\.|\,))"
root,"The startingnode(the firstcondition) in adecision tree.
By convention, diagrams put the root at the top of the decision tree.
For example:",,"['condition', 'decision tree']",,false,"(root|\s(\s|\.|\,))"
scalar,"A single number or a single string that can be represented as atensorofrank0. For example, the following
lines of code each create one scalar in TensorFlow: ",,"['Tensor', 'TensorFlow']",,false,"(scalar|\s(\s|\.|\,))"
scikit-learn,A popular open-source machine learning platform. Seescikit-learn.org.,,"['machine learning']",,false,"(scikit(\s|-)?learn|\s(\s|\.|\,))"
embedding vector,"Broadly speaking, an array of floating-point numbers taken fromanyhidden layerthat describe the inputs to that hidden layer.
Often, an embedding vector is the array of floating-point numbers trained in
an embedding layer. For example, suppose an embedding layer must learn an
embedding vector for each of the 73,000 tree species on Earth. Perhaps the
following array is the embedding vector for a baobab tree:  An embedding vector is not a bunch of random numbers. An embedding layer
determines these values through training, similar to the way a
neural network learns other weights during training. Each element of the
array is a rating along some characteristic of a tree species. Which
element represents which tree species' characteristic? That's very hard
for humans to determine. The mathematically remarkable part of an embedding vector is that similar
items have similar sets of floating-point numbers. For example, similar
tree species have a more similar set of floating-point numbers than
dissimilar tree species. Redwoods and sequoias are related tree species,
so they'll have a more similar set of floating-pointing numbers than
redwoods and coconut palms. The numbers in the embedding vector will
change each time you retrain the model, even if you retrain the model
with identical input. ",,"['embedding layer', 'hidden layer', 'items', 'layer', 'model', 'neural network', 'training', 'vector', 'weight']",,false,"(embedding(\s|-)?vector|\s(\s|\.|\,))"
F1-Score,"A ""roll-up""binary classification metric that
relies on both precision and recall.",,"['binary classification', 'class', 'fairness constraint', 'metric', 'precision', 'recall']",,false,"(F1(\s|-)?Score|\s(\s|\.|\,))"
online inference,"Generating predictions on demand. For example,
suppose an app passes input to a model and issues a request for a
prediction.
A system using online inference responds to the request by running
the model (and returning the prediction to the app). Contrast withoffline inference.",,"['inference', 'model', 'offline', 'offline inference', 'online', 'prediction', 'return']",,false,"(online(\s|-)?inference|\s(\s|\.|\,))"
outlier detection,The process of identifyingoutliersin atraining set. Contrast withnovelty detection. ,,"['novelty detection', 'outliers', 'training', 'training set']",,false,"(outlier(\s|-)?detect|\s(\s|\.|\,))"
scoring,"The part of arecommendation systemthat
provides a value or ranking for each item produced by thecandidate generationphase.",,"['candidate generation', 'ranking', 'recommendation system']",,false,"(scoring|\s(\s|\.|\,))"
scaling,"Any mathematical transform or technique that shifts the range of a label
and/or feature value. Some forms of scaling are very useful for transformations
like normalization. Common forms of scaling useful in Machine Learning include: ",,"['feature', 'label', 'machine learning', 'normalization']",,false,"(scaling|\s(\s|\.|\,))"
accuracy,"The number of correct classificationpredictionsdivided
by the total number of predictions. That is: For example, a model that made 40 correct predictions and 10 incorrect
predictions would have an accuracy of: Binary classificationprovides specific names
for the different categories ofcorrect predictionsandincorrect predictions. So, the accuracy formula for binary classification
is as follows: where: Compare and contrast accuracy withprecisionandrecall. Although a valuable metric for some situations, accuracy is highly
misleading for others. Notably, accuracy is usually a poor metric
for evaluating classification models that processclass-imbalanced datasets. For example, suppose snow falls only 25 days per century in a certain
subtropical city. Since days without snow (the negative class) vastly
outnumber days with snow (the positive class), the snow dataset for
this city is class-imbalanced.
Imagine abinary classificationmodel that is supposed to predict either snow or no snow each day but
simply predicts ""no snow"" every day.
This model is highly accurate but has no predictive power.
The following table summarizes the results for a century of predictions: The accuracy of this model is therefore: Although 99.93% accuracy seems like very a impressive percentage, the model
actually has no predictive power. Precisionandrecallare usually more useful metrics
thanaccuracyfor evaluating models trained on class-imbalanced datasets.",,"['binary classification', 'class', 'classification model', 'class-imbalanced dataset', 'imbalanced dataset', 'metric', 'model', 'negative class', 'positive class', 'precision', 'prediction', 'recall']",,false,"(accuracy|\s(\s|\.|\,))"
variable importances,"A set of scores that indicates the relative importance of eachfeatureto the model. For example, consider adecision treethat
estimates house prices. Suppose this decision tree uses three
features: size, age, and style. If a set of variable importances
for the three features are calculated to be
{size=5.8, age=2.5, style=4.7}, then size is more important to the
decision tree than age or style. Different variable importance metrics exist, which can inform
ML experts about different aspects of models.",,"['decision tree', 'feature', 'metric', 'model']",,false,"(variable(\s|-)?importance|\sfeature importances(\s|\.|\,))"
candidate sampling,"A training-time optimization that calculates a probability for all the positivelabels, using, for example,softmax, but only for a random
sample of negative labels. For instance, given an example labeledbeagleanddog, candidate sampling computes the predicted probabilities
and corresponding loss terms for: The idea is that thenegative classescan learn from less frequent
negative reinforcement as long aspositive classesalways get proper positive
reinforcement, and this is indeed observed empirically. Candidate sampling is more computationally efficient than training algorithms
that compute predictions forallnegative classes, particularly when the
number of negative classes is very large.",,"['class', 'instance', 'label', 'loss', 'negative class', 'positive class', 'prediction', 'softmax', 'training']",,false,"(candidate(\s|-)?sampl|\snegative sampling(\s|\.|\,))"
"empirical cumulative distribution function (eCDF or
EDF)","Acumulative distribution functionbased onempirical measurementsfrom a real dataset. The value of the
function at any point along the x-axis is the fraction of observations in
the dataset that are less than or equal to the specified value. ",,"['action', 'distribution']",,false,"(empirical(\s|-)?cumulative(\s|-)?distribution(\s|-)?function(\s|-)?|\s(\s|\.|\,))"
early stopping,"A method for regularization that involves ending training before training loss finishes
decreasing. In early stopping, you intentionally stop training the model when the loss on a validation dataset starts to
increase i.e. when generalization performance worsens. ",,"['generalization', 'loss', 'model', 'overfitting', 'performance', 'prediction', 'regularization', 'training', 'training loss', 'validation']",,false,"(early(\s|-)?stopp|\s(\s|\.|\,))"
entropy,"Ininformation theory,
a description of how unpredictable a probability
distribution is. Alternatively, entropy is also defined as how much
information eachexamplecontains. A distribution has
the highest possible entropy when all values of a random variable are
equally likely. The entropy of a set with two possible values ""0"" and ""1"" (for example,
the labels in abinary classificationproblem)
has the following formula: H = -p log p - q log q = -p log p - (1-p) * log (1-p) where: For example, suppose the following: Therefore, the entropy value is: A set that is perfectly balanced (for example, 200 ""0""s and 200 ""1""s)
would have an entropy of 1.0 bit per example. As a set becomes moreimbalanced, its entropy moves towards 0.0. Indecision trees, entropy helps formulateinformation gainto help thesplitterselect theconditionsduring the growth of a classification decision tree. Compare entropy with: Entropy is often called Shannon's entropy.",,"['binary classification', 'class', 'condition', 'decision tree', 'distribution', 'information gain', 'label', 'split', 'splitter']",,false,"(entropy|\s(\s|\.|\,))"
recall,"A metric forclassification modelsthat answers
the following question: Whenground truthwas thepositive class, what percentage of predictions did
the model correctly identify as the positive class? Here is the formula: \[\text{Recall} =
\frac{\text{true positives}} {\text{true positives} + \text{false negatives}}
\] where: For instance, suppose your model made 200 predictions on examples for which
ground truth was the positive class. Of these 200 predictions: In this case: \[\text{Recall} =
\frac{\text{180}} {\text{180} + \text{20}} = 0.9
\] Recall is particularly useful for determining the predictive power of
classification models in which the positive class is rare. For example, consider
aclass-imbalanced datasetin which the positive class for a certain disease occurs in only 10 patients
out of a million. Suppose your model makes five million predictions that yield
the following outcomes: The recall of this model is therefore: That high value of accuracy looks impressive but is essentially meaningless.
Recall is a much more useful metric for class-imbalanced datasets than accuracy.",,"['accuracy', 'class', 'classification model', 'class-imbalanced dataset', 'ground truth', 'imbalanced dataset', 'instance', 'metric', 'model', 'positive class', 'prediction']",,false,"(recall|\strue positive rate (TPR)(\s|\.|\,))"
latent space,Synonym forembedding space.,,"['embedding space']",embedding space,true,"(latent(\s|-)?space|\sembedding space(\s|\.|\,))"
backpropagation,"The algorithm that implements gradient descent during training in neural networks - determining whether to increase or decrease the weights applied to particular neurons. 
 The learning rate is a multiplier that controls the degree to which each backward pass increases or decreases each weight.
 In calculus terms, backpropagation implements the 'chain rule'.
from calculus. ",,"['gradient', 'gradient descent', 'hidden layer', 'iteration', 'layer', 'learning rate', 'loss', 'neural network', 'neuron', 'parameter', 'partial derivative', 'Tensor', 'TensorFlow', 'training', 'weight']",,false,"(backpropagat|\s(\s|\.|\,))"
post-processing,"Adjusting the output of a modelafterthe model has been run.
Post-processing can be used to enforce fairness constraints without
modifying models themselves. For example, one might apply post-processing to a binary classifier
by setting a classification threshold such thatequality of opportunityis maintained
for some attribute by checking that thetrue positive rateis the same for all values of that attribute. ",,"['attribute', 'class', 'classification threshold', 'equality of opportunity', 'fairness constraint', 'model', 'Tensor Processing Unit']",,false,"(post(\s|-)?process|\s(\s|\.|\,))"
quantile,Each bucket in quantile bucketing. ,,"['bucketing', 'quantile bucketing']",,false,"(quantile|\s(\s|\.|\,))"
confusion matrix,"An NxN table that summarizes the number of correct and incorrect predictions
that aclassification modelmade.
For example, consider the following confusion matrix for abinary classificationmodel: The preceding confusion matrix shows the following: The confusion matrix for amulti-class classificationproblem can help you identify patterns of mistakes.
For example, consider the following confusion matrix for a 3-class
multi-class classification model that categorizes three different iris types
(Virginica, Versicolor, and Setosa). When the ground truth was Virginica, the
confusion matrix shows that the model was far more likely to mistakenly
predict Versicolor than Setosa: As yet another example, a confusion matrix could reveal that a model trained
to recognize handwritten digits tends to mistakenly predict 9 instead of 4,
or mistakenly predict 1 instead of 7. Confusion matrixes contain sufficient information to calculate a
variety of performance metrics, includingprecisionandrecall.",,"['binary classification', 'class', 'classification model', 'ground truth', 'metric', 'model', 'multi-class classification', 'performance', 'precision', 'prediction', 'recall']",,false,"(confusion(\s|-)?matrix|\s(\s|\.|\,))"
split,"In adecision tree, another name for acondition.",,"['condition', 'decision tree']",,false,"(split|\s(\s|\.|\,))"
exploding gradient problem,"The tendency for gradients in deep neural networks(especially recurrent neural networks) to become
surprisingly steep (high). Steep gradients often cause very large updates
to the weights of each nodein a
deep neural network. Models suffering from the exploding gradient problem become difficult
or impossible to train. Gradient clipping can mitigate this problem. Compare to vanishing gradient problem. ",,"['clipping', 'deep neural network', 'gradient', 'gradient clipping', 'model', 'neural network', 'recurrent neural network', 'vanishing gradient problem', 'weight']",,false,"(exploding(\s|-)?gradient(\s|-)?problem|\s(\s|\.|\,))"
pre-training,"The initial training of a model on a large dataset. Some pre-trained models
are clumsy giants and must typically be refined through additional training.
For example, ML experts might pre-train alarge language modelon a vast text dataset,
such as all the English pages in Wikipedia. Following pre-training, the
resulting model might be further refined through any of the following
techniques: ",,"['language model', 'large language model', 'model', 'pre-trained model', 'training']",,false,"(pre(\s|-)?train|\s(\s|\.|\,))"
Bayesian neural network,"A probabilistic neural network that accounts for
uncertainty in weights and outputs. A standard neural network
regression model typicallypredictsa scalar value;
for example, a standard model predicts a house price
of 853,000. In contrast, a Bayesian neural network predicts a distribution of
values; for example, a Bayesian model predicts a house price of 853,000 with
a standard deviation of 67,200. A Bayesian neural network relies onBayes' Theoremto calculate uncertainties in weights and predictions. A Bayesian neural
network can be useful when it is important to quantify uncertainty, such as in
models related to pharmaceuticals. Bayesian neural networks can also help
preventoverfitting. ",,"['distribution', 'model', 'neural network', 'overfitting', 'prediction', 'regression model', 'scalar', 'weight', 'Tensor Processing Unit']",,false,"(Bayesian(\s|-)?neural(\s|-)?network|\s(\s|\.|\,))"
recurrent neural network,"A neural network that is intentionally run multiple
times, where parts of each run feed into the next run. Specifically,
hidden layers from the previous run provide part of the
input to the same hidden layer in the next run. Recurrent neural networks
are particularly useful for evaluating sequences, so that the hidden layers
can learn from previous runs of the neural network on earlier parts of
the sequence. For example, the following figure shows a recurrent neural network that
runs four times. Notice that the values learned in the hidden layers from
the first run become part of the input to the same hidden layers in
the second run. Similarly, the values learned in the hidden layer on the
second run become part of the input to the same hidden layer in the
third run. In this way, the recurrent neural network gradually trains and
predicts the meaning of the entire sequence rather than just the meaning
of individual words.",RNN,"['hidden layer', 'layer', 'neural network', 'intersection over union']",,false,"(recurrent(\s|-)?neural(\s|-)?network|\sRNN(\s|\.|\,)|\s(\s|\.|\,))"
subword token,"Inlanguage models, atokenthat is a
substring of a word, which may be the entire word. For example, a word like ""itemize"" might be broken up into the pieces ""item""
(a root word) and ""ize"" (a suffix), each of which is represented by its own
token. Splitting uncommon words into such pieces, called subwords, allows
language models to operate on the word's more common constituent parts,
such as prefixes and suffixes. Conversely, common words like ""going"" might not be broken up and might be
represented by a single token.",,"['language model', 'model', 'root', 'split', 'token']",,false,"(subword(\s|-)?token|\s(\s|\.|\,))"
epsilon greedy policy,"In reinforcement learning, a policy that either follows a random policy with epsilon probability or agreedy policy otherwise. For example, if epsilon is
0.9, then the policy follows a random policy 90% of the time and a greedy
policy 10% of the time. Over successive episodes, the algorithm reduces epsilon's value in order to shift from following a random policy to following a greedy policy. By shifting the policy, the agent first randomly explores the environment and then greedily exploits the results of random exploration.",,"['agent', 'environment', 'episode', 'greedy policy', 'policy', 'random policy', 'Low-Rank Adaptability']",,false,"(epsilon(\s|-)?greedy(\s|-)?policy|\s(\s|\.|\,))"
proxy (sensitive attributes),,,[],,false,"(proxy(\s|-)?|\s(\s|\.|\,))"
supervised machine learning,"Training amodelfromfeaturesand their
correspondinglabels. Supervised machine learning is analogous
to learning a subject by studying a set of questions and their
corresponding answers. After mastering the mapping between questions and
answers, a student can then provide answers to new (never-before-seen)
questions on the same topic. Compare withunsupervised machine learning.",,"['feature', 'label', 'machine learning', 'model', 'training', 'unsupervised machine learning']",,false,"(supervised(\s|-)?machine(\s|-)?learn|\s(\s|\.|\,))"
validation loss,"A metric representing a model's loss on
the validation set during a particular iteration of training. See also generalization curve.",,"['generalization', 'generalization curve', 'iteration', 'loss', 'metric', 'model', 'training', 'validation', 'validation set']",,false,"(validation(\s|-)?los|\s(\s|\.|\,))"
JAX,"An array computing library, bringing together XLA (Accelerated Linear Algebra) and automatic differentiation
for high-performance numerical computing. JAX provides a simple and powerful
API for writing accelerated numerical code with composable transformations.
JAX provides features such as: JAX is a language for expressing and composing transformations of numerical
code, analogous—but much larger in scope—to Python'sNumPylibrary. (In fact, the .numpy library under JAX is a functionally equivalent,
but entirely rewritten version of the Python NumPy library.) JAX is particularly well-suited for speeding up many machine learning tasks
by transforming the models and data into a form suitable for parallelism
across GPU andTPUaccelerator chips. Flax,Optax,Pax, and many other
libraries are built on the JAX infrastructure. ",,"['accelerator chip', 'feature', 'Flax', 'linear', 'machine learning', 'model', 'NumPy', 'Optax', 'Pax', 'performance', 'task', 'XLA (Accelerated Linear Algebra)', 'Tensor Processing Unit']",,false,"(JAX|\s(\s|\.|\,))"
convex function,"A function in which the region above the graph of the function is a convex set. The prototypical convex function is
shaped something like the letter U. For example, the following
are all convex functions:  In contrast, the following function is not convex. Notice how the
region above the graph is not a convex set:  Astrictly convex functionhas exactly one local minimum point, which
is also the global minimum point. The classic U-shaped functions are
strictly convex functions. However, some convex functions
(for example, straight lines) are not U-shaped. A lot of the commonloss functions, including the
following, are convex functions: Many variations ofgradient descentare guaranteed to find a point close to the minimum of a
strictly convex function. Similarly, many variations ofstochastic gradient descenthave a high probability
(though, not a guarantee) of finding a point close to the minimum of a
strictly convex function. The sum of two convex functions (for example,
L2loss + L1regularization) is a convex function. Deep modelsare never convex functions.
Remarkably, algorithms designed forconvex optimizationtend to find
reasonably good solutions on deep networks anyway, even though
those solutions are not guaranteed to be a global minimum. ",,"['class', 'convex optimization', 'convex set', 'deep model', 'gradient', 'gradient descent', 'graph', 'L1regularization', 'L2loss', 'loss', 'loss function', 'model', 'regularization']",,false,"(convex(\s|-)?funct|\s(\s|\.|\,))"
temperature,"A hyperparameterthat controls the degree of randomness
of a model's output. Higher temperatures result in more random output,
while lower temperatures result in less random output. Choosing the best temperature depends on the specific application and
the preferred properties of the model's output. For example, you would
probably raise the temperature when creating an application that
generates creative output. Conversely, you would probably lower the temperature
when building a model that classifies images or text in order to improve the
model's accuracy and consistency. Temperature is often used withsoftmax. ",,"['accuracy', 'class', 'hyperparameter', 'model', 'parameter', 'softmax', 'Tensor Processing Unit']",,false,"(temperature|\s(\s|\.|\,))"
rater,"A human who provideslabelsforexamples.
""Annotator"" is another name for rater. ",,"['label']",,false,"(rater|\s(\s|\.|\,))"
classification threshold,"In a binary classification, a
number between 0 and 1 that converts the raw output of a logistic regressionmodel
into a prediction of either thepositive classor thenegative class.
Note that the classification threshold is a value that a human chooses,
not a value chosen by model training. A logistic regression model outputs a raw value between 0 and 1. Then: For example, suppose the classification threshold is 0.8. If the raw value
is 0.9, then the model predicts the positive class. If the raw value is
0.7, then the model predicts the negative class. The choice of classification threshold strongly influences the number offalse positivesandfalse negatives. As models or datasets evolve, engineers sometimes also change the
classification threshold. When the classification threshold changes,
positive class predictions can suddenly become negative classes
and vice-versa. For example, consider a binary classification disease prediction model.
Suppose that when the system runs in the first year: Therefore, the system diagnoses the positive class. (The patient gasps,
""Oh no! I'm sick!"") A year later, perhaps the values now look as follows: Therefore, the system now reclassifies that patient as the negative class.
(""Happy day! I'm not sick."") Same patient. Different diagnosis.",,"['binary classification', 'class', 'logistic regression', 'model', 'model training', 'negative class', 'positive class', 'prediction', 'regression model', 'training', 'Tensor Processing Unit']",,false,"(classification(\s|-)?threshold|\sdecision threshold(\s|\.|\,))"
replay buffer,"In DQN-like algorithms, the memory used by the agent to store state transitions for use inexperience replay. ",,"['agent', 'experience replay', 'state', 'Deep Q-Network']",,false,"(replay(\s|-)?buffer|\s(\s|\.|\,))"
similarity measure,"In clustering algorithms, the metric used to determine how alike (how similar) any two examples are. ",,"['clustering', 'metric']",,false,"(similarity(\s|-)?measure|\s(\s|\.|\,))"
equality of opportunity,"Afairness metricto assess whether a model is
predicting the desirable outcome equally well for all values of asensitive attribute. In other words, if the
desirable outcome for a model is thepositive class,
the goal would be to have thetrue positive ratebe the
same for all groups. Equality of opportunity is related toequalized odds,
which requires thatboththe true positive rates andfalse positive ratesare the same for all groups. Suppose Glubbdubdrib University admits both Lilliputians and Brobdingnagians
to a rigorous mathematics program. Lilliputians' secondary schools offer a
robust curriculum of math classes, and the vast majority of students are
qualified for the university program. Brobdingnagians' secondary schools don't
offer math classes at all, and as a result, far fewer of their students are
qualified. Equality of opportunity is satisfied for the preferred label of
""admitted"" with respect to nationality (Lilliputian or Brobdingnagian) if
qualified students are equally likely to be admitted irrespective of whether
they're a Lilliputian or a Brobdingnagian. For example, suppose 100 Lilliputians and 100 Brobdingnagians apply to
Glubbdubdrib University, and admissions decisions are made as follows: Table 1.Lilliputian applicants (90% are qualified)  Table 2.Brobdingnagian applicants (10% are qualified): The preceding examples satisfy equality of opportunity for acceptance of
qualified students because qualified Lilliputians and Brobdingnagians both
have a 50% chance of being admitted. While equality of opportunity is satisfied, the following two fairness metrics
are not satisfied: See""Equality of
Opportunity in Supervised Learning""for a more detailed discussion
of equality of opportunity. Also see""Attacking
discrimination with smarter machine learning""for a visualization
exploring the tradeoffs when optimizing for equality of opportunity.",,"['attribute', 'class', 'equalized odds', 'fairness metric', 'label', 'machine learning', 'metric', 'model', 'positive class', 'sensitive attribute']",,false,"(equality(\s|-)?of(\s|-)?opportunity|\s(\s|\.|\,))"
recommendation system,"A system that selects for each user a relatively small set of desirableitemsfrom a large corpus.
For example, a video recommendation system might recommend two videos
from a corpus of 100,000 videos, selectingCasablancaandThe Philadelphia Storyfor one user, andWonder WomanandBlack Pantherfor another. A video recommendation system might
base its recommendations on factors such as:",,"['items']",,false,"(recommendation(\s|-)?system|\s(\s|\.|\,))"
representation,The process of mapping data to usefulfeatures.,,"['feature']",,false,"(representat|\s(\s|\.|\,))"
offline,Synonym for static.,,"['static']",static,true,"(offline|\sstatic(\s|\.|\,))"
self-supervised learning,"A family of techniques for converting anunsupervised machine learningproblem
into asupervised machine learningproblem
by creating surrogatelabelsfromunlabeled examples. SomeTransformer-based models such asBERTuse
self-supervised learning. Self-supervised training is asemi-supervised learningapproach. ",,"['label', 'labeled example', 'machine learning', 'model', 'semi-supervised learning', 'supervised machine learning', 'training', 'Transformer', 'unlabeled example', 'unsupervised machine learning']",,false,"(self(\s|-)?supervised(\s|-)?learn|\s(\s|\.|\,))"
Bayesian optimization,"A probabilistic regression model technique for optimizing computationally expensive objective functions by instead optimizing a surrogate
that quantifies the uncertainty using a Bayesian learning technique. Since
Bayesian optimization is itself very expensive, it is usually used to optimize
expensive-to-evaluate tasks that have a small number of parameters, such as
selecting hyperparameters.",,"['hyperparameter', 'model', 'objective', 'objective function', 'parameter', 'probabilistic regression model', 'regression model', 'task']",,false,"(Bayesian(\s|-)?optimizat|\s(\s|\.|\,))"
interpretability,"The ability to explain or to present an ML model's reasoning in understandable terms to a human. Most linear regression models, for example, are highly
interpretable. (You merely need to look at the trained weights for each
feature.) Decision forests are also highly interpretable. Some models, however,
require sophisticated visualization to become interpretable. You can use theLearning Interpretability Tool (LIT)to interpret ML models. ",,"['decision forest', 'feature', 'Learning Interpretability Tool (LIT)', 'linear', 'linear regression', 'model', 'weight']",,false,"(interpretability|\s(\s|\.|\,))"
N-gram,"An ordered sequence of N words. For example,truly madlyis a 2-gram. Because
order is relevant,madly trulyis a different 2-gram thantruly madly. Manynatural language understandingmodels rely on N-grams to predict the next word that the user will type
or say. For example, suppose a user typedthree blind.
An NLU model based on trigrams would likely predict that the
user will next typemice. Contrast N-grams withbag of words, which are
unordered sets of words.",,"['bag of words', 'model', 'natural language understanding', 'trigram']",,false,"(N(\s|-)?gram|\s(\s|\.|\,))"
Momentum,"A gradient descent algorithm in which a learning step depends
not only on the derivative in the current step, but also on the derivatives
of the step(s) that immediately preceded it. Momentum involves computing an
exponentially weighted moving average of the gradients over time, analogous
to momentum in physics. Momentum sometimes prevents learning from getting
stuck in local minima.",,"['gradient', 'gradient descent', 'step', 'weight', 'retrieval-augmented generation']",,false,"(Momentum|\s(\s|\.|\,))"
confabulation,"Synonym forhallucination. Confabulation is probably a more technically accurate term than hallucination.
However, hallucination became popular first. ",,"['hallucination']",hallucination,true,"(confabulat|\shallucination(\s|\.|\,))"
